0000 HeroSprite
9e14 Kobla_Pirate
9e1c Ribald_Fisherman
9e24 Rangard_Fisherman
9e2c Keggs_Fisherman
9e34 Milo_Carpenter
9e3c Retnig_Serf
9e44 Yltendoq_Priest
9e4c Mardon_Serf
9e54 Lintu_Child
9e5c Temple_Child
9e64 Tallard_Steward
9e6c Kinda_Bakerboy
9e74 Abbot_Clergy
9e7c Prest_Clergy
9e84 Jiro_Child
9e8c OldTom_Farmer
9e94 Merideth_Dealer
9e9c Witch_Witch
9ea4 Spider_Wizard
9eac Erth_Wizard
9eb4 Munk_Clergy
9ebc Rotfilsh_FishMonger
9ec4 Triffith_Ironsmith
9ecc Callum_Grocer
9ed4 Jiles_Farmer
c000 Driver
df81 InitText
d39b InitRiver
c0dd DisplayWaningMoonRows
c08a NewBitPair
c61e TopBG_GFX_Bank2
c26f ColumnCount
c285 DisplayColourColumn
c01e loop1
c08b AnimateSkipCharacter
d883 ControlBoatsPosition
dcd9 ManageFrontBankScroll
de44 Perform2BitFrontBankScroll
c792 BackBankFrac
c04b skip1
c793 Scroll2BitRight
c21e Manage_TopBG_Column
c072 skip2
d98c ScrollMaskedBackRiverShore
df43 FadeRowFlag
df48 FadeRows
d347 UndulateRiver
c762 Mirror_TopBG_asWater
d2ef PlotRandomRightColumn
d30d River2ScreenBuffer
d899 Boat2ScreenBuffer
d8f2 MaskScreenBufferWithRiverShore
dd23 MaskFrontBankWithScreenBuffer
d8c9 ScreenBuffer2Screen
c0d2 MaskMoonByte
c073 ExitGameCode
c0bc RestoreGravestoneGraphic
c0d1 DownArrowFrac
c0ab skip1
c0d0 DownArrowFrame
c0a1 loop1
c0ac DownArrowTextGraphic
c0be loop1
c0c8 GraveStoneCharacter
c106 WaningMoonGraphic
c0ef loop2
c0f1 loop1
d3be AddScreen
d3ca AddSource
c26e skip1
c232 loop1
c271 NewByteColumn
c270 MapIndex
c710 TopBG_Map
c25e skip4
c2c6 TopBG_GFX_SceneryColumns
c29e TopBG_GFX_SceneryVectorLo
c2b2 TopBG_GFX_SceneryVectorHi
c291 loop1
c29a skip1
c2da TopBG_GFX_Tree1
c38a TopBG_GFX_Barn
c40e TopBG_GFX_Silverbirch
c466 TopBG_GFX_Milestone
c492 TopBG_GFX_FenceCont1
c52c TopBG_GFX_FenceEnd
c5dc TopBG_GFX_Bank1
c64a TopBG_GFX_FenceStart
c6a2 TopBG_GFX_FenceCont
dc6b TopBG_GFX_Forest
d9ed TopBG_GFX_Crag
da71 TopBG_GFX_Crag2
dac9 TopBG_GFX_Hill1
db0b TopBG_GFX_Hill2
db4d TopBG_GFX_Hill3
dbe7 TopBG_GFX_Hill4
db8f TopBG_GFX_Rivine
dc29 TopBG_GFX_Escarpment
dea9 TopBG_GFX_Castle
c710 TopBG_GFX_
c764 loop1
cedf RiverMaskBuffer
c7a6 loop1
ca3c TwoBitShift
ca7c TwoBitremainder
c7c8 loop1
c7ea loop1
c80c loop1
c82e loop1
c850 loop1
c872 loop1
c894 loop1
c8b6 loop1
c8d8 loop1
c8fa loop1
c91c loop1
c93e loop1
c960 loop1
c982 loop1
c9a4 loop1
c9c6 loop1
c9e8 loop1
ca0a loop1
ca2c loop1
cabc SineWaveIndex
cabd SineWave
cacf RiverBuffer
d2f9 loop1
d3e2 ScreenBuffer
d327 loop2
d329 loop1
d3d6 AddMask
d351 loop1
d364 next
d361 skip1
d388 ShiftRiverRight
d377 ShiftRiverLeft
d36e skip2
d379 loop1
d388 loop2
d38a loop1
d392 skip1
d3a5 loop2
d3a7 loop1
d7f2 RiverBoat_MaskGraphic
d876 BoatsScreenLocationLo
d87c BoatsScreenLocationHi
d882 BoatMovementFrac
d897 skip1
d898 BoatHeight
d8b0 loop2
d8b2 loop1
d8db loop2
d8dd loop1
d8f4 loop1
d913 RiverShoreBuffer
d98b ThisShoreHeightReference
d99b skip2
d99d skip1
d99f loop1
d9ba skip2
d9bc skip1
d9be loop1
d9d9 skip2
d9db skip1
d9dd loop1
dd0d FrontBankDelayFrac
dce8 skip1
dd0e FrontBankSlopeIndex
dcf2 skip2
dd0f Height4Slope
dd4e CurrentFrontBankHeight
dcfd loop1
dd06 skip1
dd4f FrontBankColumnList
dd54 FrontBankMaskBuffer
dd35 loop2
dd37 loop1
de49 loop1
de5d loop1
de71 loop1
de85 loop1
de99 loop1
df44 FadeRowFrac
df45 BottomFadeRowLo
df46 BottomFadeRowHi
df47 FadeRowCount
df80 skip1
df78 skip2
dfab RiverboatText
df9f RiverboatLocationText
