WMD 1.0
ROOM 0,7,6
8,4,0,GLOBE
8,9,0,INSET_CORNER
9,1,0,INSET_CORNER|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSET_WALL|INVERT
9,4,0,INSET_WALL|INVERT
9,5,0,INSET_WALL|INVERT
9,6,0,INSET_WALL|INVERT
9,7,0,INSET_WALL|INVERT
9,8,0,INSET_WALL|INVERT
ROOM 3,7,6
0,1,0,WALL|INVERT
0,2,0,WALL|INVERT
0,3,0,GRILL|INVERT
0,4,0,GRILL|INVERT
0,5,0,WALL|INVERT
1,0,0,WALL
1,2,0,PLANT|INVERT
1,3,0,CHAIR_SE|INVERT
1,4,0,CHAIR_SE|INVERT
1,6,0,WALLCURVE2
1,7,0,WALL|INVERT
1,8,0,WALL|INVERT
1,9,0,WALL|INVERT
2,0,0,GRILL
3,0,0,WALL
4,0,0,LIFT|SPECIAL
4,0,3,DOORJAMB
5,0,0,WALL
6,0,0,GRILL
7,0,0,WALL
7,3,0,INFO|INVERT|SPECIAL
7,6,0,INSET_WCV1
7,7,0,INSET_WALL|INVERT
7,8,0,INSET_WALL|INVERT
7,9,0,INSET_WALL|INVERT
8,1,0,INSET_CORNER|INVERT
8,2,0,INSET_WALL|INVERT
8,3,0,INSET_WALL|INVERT
8,4,0,INSET_WALL|INVERT
8,5,0,INSET_WALL|INVERT
ROOM 4,1,1
0,1,0,WALL|INVERT
0,2,0,COMPUTERA|INVERT
0,3,0,COMPUTERB|INVERT
0,4,0,GRILL|INVERT
0,5,0,WALL|INVERT
0,6,1,WALL|INVERT
0,7,1,STORECUPBOARD|INVERT
0,8,1,STORECUPBOARD|INVERT
1,0,0,WALL
1,4,0,CENTRECOLUMN
1,6,0,GLASS_TILE|INVERT
1,6,1,FILING_CABINET|INVERT
1,7,0,GLASS_TILE|INVERT
1,8,0,GLASS_TILE|INVERT
1,9,1,INSET_CORNER
2,0,0,GRILL
2,4,0,INSETEDGE
2,6,0,BATHSW
2,6,1,BATHSW
2,7,0,STAIRN|INVERT
2,8,0,STAIRN|INVERT
2,9,1,INSET_WALL
3,0,0,WALL
3,3,0,SURGERY_DOOR|SPECIAL
3,9,0,INSET_WALL
4,0,0,WALL
4,1,0,FILING_CABINET|INVERT
4,4,0,INSET_CORNER
4,9,0,INSET_WALL
5,0,0,WALL
5,1,0,FILING_CABINET|INVERT
5,4,0,CENTRECOLUMN
5,5,0,INSIDEWALL
5,6,0,INSIDEWALL
5,7,0,INSIDEWALL
5,8,0,INSIDEWALL
5,9,0,INSET_WALL
6,0,0,WALL
6,9,0,INSET_WALL
7,0,0,GRILL
7,1,0,CHAIR_SE
7,2,0,DESK_LEFT
7,9,0,INSETEDGE
8,0,0,RED
8,2,0,DESK_RIGHT
8,8,0,COR_DOOR|SPECIAL
8,8,3,DOORJAMB
9,1,0,INSET_CORNER|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSET_WALL|INVERT
9,4,0,INSET_WALL|INVERT
9,5,0,INSET_WALL|INVERT
9,6,0,INSET_WALL|INVERT
9,7,0,INSET_WALL|INVERT
9,8,0,INSETEDGE|INVERT
ROOM 12,7,7
0,1,0,WALL|INVERT
0,2,0,RED|INVERT
0,3,0,VDU|INVERT
0,4,0,CTRL1|INVERT
0,5,0,RED|INVERT
0,6,0,WALL|INVERT
0,7,0,CTRL2|INVERT
0,8,0,VDU|INVERT
0,9,0,WALL|INVERT
1,0,0,WALL
1,3,0,TERMINAL|INVERT
2,0,0,RED
3,0,0,CTRL2
3,8,0,INSET_WCV1|INVERT
3,9,0,INSET_WALL|INVERT
4,0,0,VDU
4,1,0,TERMINAL
4,8,0,INSET_WALL
5,0,0,RED
5,8,0,INSET_WALL
6,0,0,CTRL2
6,3,0,CONTROL_UNIT|INVERT
6,4,0,DESK_LEFT|INVERT
6,4,1,MONITOR_FRONT
6,5,0,DESK_RIGHT|INVERT
6,8,0,INSETEDGE
7,0,0,VDU
7,1,0,TERMINAL
7,5,0,CHAIR_NE|INVERT
7,8,0,WALLCURVE2
7,9,0,VDU|INVERT
8,0,0,WALL
9,1,0,INSET_CORNER|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSET_WALL|INVERT
9,4,0,INSET_WALL|INVERT
9,5,0,INSET_WALL|INVERT
9,6,0,INSET_WALL|INVERT
9,7,0,INSET_WALL|INVERT
9,8,0,INSET_WALL|INVERT
9,9,0,INSET_WALL|INVERT
ROOM 16,7,6
0,1,0,GRILL|INVERT
0,2,0,WALL|INVERT
0,2,2,WINDOW|INVERT
0,3,0,WALL|INVERT
0,3,2,WINDOW|INVERT
0,4,0,WALL|INVERT
0,4,2,WINDOW|INVERT
1,0,0,WALL
1,1,0,PLANT|INVERT
1,5,0,WALLCURVE2|INVERT
2,0,0,WALL
2,5,0,WALL
3,0,0,GRILL
3,5,0,WALL
3,6,0,GRILL|INVERT
3,7,0,GRILL|INVERT
3,8,0,GRILL|INVERT
4,0,0,COR_DOOR|SPECIAL
4,0,3,DOORJAMB
4,6,0,INSETEDGE
4,6,1,SOLIDBRICK
4,8,0,BATHSW
4,9,0,INSET_CORNER
5,0,0,GRILL
5,5,0,SURGERY_DOOR|SPECIAL
5,9,0,INSET_WALL
6,0,0,WALL
6,1,0,CHAIR_SE
6,6,0,INSET_CORNER
6,9,0,INSET_WALL
7,0,0,GRILL
7,1,0,WALL|INVERT
7,6,0,INSET_WCV1
7,7,0,INSET_WALL|INVERT
7,8,0,INSET_WALL|INVERT
8,2,0,WALLCURVE2|INVERT
8,6,0,INSET_WALL
9,2,0,WALL
9,6,0,INSET_WALL
ROOM 17,7,6
0,2,0,CTRL2
0,6,0,INSET_WALL
1,2,0,WALL
1,6,0,INSET_WALL
2,2,0,COMPUTERA
2,6,0,INSET_WALL
3,2,0,COMPUTERB
3,6,0,INSET_WALL
4,2,0,WALL
4,6,0,INSET_WALL
5,2,0,GRILL
5,6,0,INSET_WALL
6,2,0,WALL
6,6,0,INSET_WALL
7,2,0,GRILL
7,6,0,INSET_WALL
8,2,0,WALL
8,6,0,INSET_WALL
9,2,0,CTRL2
9,6,0,INSET_WALL
ROOM 18,7,6
0,1,0,WALL|INVERT
0,2,0,WALLCURVE1
0,6,0,WALLCURVE2
0,7,0,WALL|INVERT
1,0,0,WALL
1,1,0,PLANT|INVERT
1,6,0,SOFA_SW
1,7,0,SOFA_SW|INVERT
1,8,0,WALLCURVE2|INVERT
2,0,0,RED
2,9,0,INSET_CORNER
3,0,0,WALL
3,8,0,SOFA_SW|INVERT
3,9,0,INSET_WALL
4,0,0,RED
4,4,0,INFO|INVERT|SPECIAL
4,8,0,SOFA_SW
4,9,0,INSET_WALL
5,0,0,WALL
5,1,0,TERMINAL
5,8,0,SOFA_SW|INVERT
5,9,0,INSET_WALL
6,0,0,RED
6,8,0,SOFA_SW|INVERT
6,9,0,INSET_WALL
7,0,0,COR_DOOR|SPECIAL
7,0,3,DOORJAMB
7,6,0,INSET_WCV1|INVERT
7,7,0,INSET_WALL|INVERT
7,8,0,INSET_WALL|INVERT
8,0,0,WALL
8,1,0,SOFA_SW|INVERT
8,2,0,SOFA_SW|INVERT
8,3,0,SOFA_SW|INVERT
8,4,0,COR_DOOR|INVERT|SPECIAL
8,4,3,DOORJAMB|INVERT
8,5,0,SOFA_SW|INVERT
8,6,0,INSET_WALL
9,1,0,INSET_CORNER|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSETEDGE|INVERT
9,5,0,INSET_CORNER|INVERT
ROOM 19,7,6
0,2,0,WALL|INVERT
0,3,0,WALL|INVERT
0,4,0,COR_DOOR|INVERT|SPECIAL
0,4,3,DOORJAMB|INVERT
0,5,0,WALL|INVERT
1,0,0,WALL|INVERT
1,1,0,WALLCURVE1|INVERT
1,6,0,WALLCURVE2
1,7,0,WALL|INVERT
1,8,0,WALL|INVERT
2,9,0,INSET_CORNER
3,8,0,SOFA_SW
3,9,0,INSET_WALL
4,8,0,SOFA_SW
4,9,0,INSET_WALL
5,5,0,INFO|SPECIAL
5,8,0,SOFA_SW
5,9,0,INSET_WALL
6,8,0,SOFA_SW
6,9,0,INSET_WALL
7,0,0,INSET_WALL|INVERT
7,1,0,INSET_WCV2
7,8,0,PLANT|INVERT
7,9,0,INSET_WALL
8,2,0,INSET_WALL
8,4,0,COR_DOOR|INVERT|SPECIAL
8,4,3,DOORJAMB|INVERT
8,6,0,INSET_WCV1
8,7,0,INSET_WALL|INVERT
8,8,0,INSET_WALL|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSETEDGE|INVERT
9,5,0,INSET_CORNER|INVERT
ROOM 20,1,1
0,1,0,CTRL2|INVERT
0,2,0,RED|INVERT
0,3,0,CTRL2|INVERT
0,4,0,COR_DOOR|INVERT|SPECIAL
0,4,3,DOORJAMB|INVERT
0,5,0,RED|INVERT
0,6,0,SHELF|INVERT
0,7,0,RED|INVERT
0,8,0,WALL|INVERT
1,0,0,CTRL2
1,9,0,INSET_CORNER
2,0,0,WALL
2,9,0,INSET_WALL
3,0,0,CTRL1
3,1,0,CHAIR_SE
3,2,0,DESK_LEFT
3,4,0,CHAIR_SE
3,5,0,DESK_LEFT
3,9,0,INSET_WALL
4,0,0,CTRL1
4,2,0,DESK_RIGHT
4,5,0,DESK_RIGHT
4,9,0,INSET_WALL
5,0,0,CTRL1
5,1,0,CHAIR_SE
5,2,0,DESK_LEFT
5,4,0,CHAIR_SE
5,5,0,DESK_LEFT
5,9,0,INSET_WALL
6,0,0,WALL
6,2,0,DESK_RIGHT
6,5,0,DESK_RIGHT
6,9,0,INSET_WALL
7,0,0,CTRL1
7,7,0,INFO|INVERT|SPECIAL
7,9,0,INSET_WALL
8,0,0,COR_DOOR|SPECIAL
8,0,3,DOORJAMB
8,9,0,INSET_WALL
9,1,0,INSET_CORNER|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSET_WALL|INVERT
9,4,0,INSET_WALL|INVERT
9,5,0,INSET_WALL|INVERT
9,6,0,INSET_WALL|INVERT
9,7,0,INSET_WALL|INVERT
9,8,0,INSET_WALL|INVERT
ROOM 23,6,6
0,1,0,SHOWER_PARTITION|INVERT
0,2,0,SHOWER_PARTITION|INVERT
0,3,0,WALL|INVERT
0,4,0,COMPUTERA|INVERT
0,5,0,COMPUTERB|INVERT
0,6,0,SHELF|INVERT
0,7,0,GRILL|INVERT
0,8,0,STORECUPBOARD|INVERT
1,0,0,SHOWER_PARTITION
1,2,0,SHOWER_PARTITION
1,3,0,PLANT
1,4,0,INSET_CORNER
1,9,0,INSET_CORNER
2,0,0,SHOWER_PARTITION
2,2,0,DOUBLE_SHOWER
2,4,0,INSETEDGE
2,5,0,INFO|INVERT|SPECIAL
2,7,0,CHAIR_SE
2,8,0,DESK_LEFT
2,9,0,INSET_WALL
3,0,0,STORECUPBOARD
3,3,0,SURGERY_DOOR|SPECIAL
3,8,0,DESK_RIGHT
3,9,0,INSET_WALL
4,0,0,WALL
4,1,0,BATHSW
4,4,0,INSET_CORNER
4,8,0,SURGERY_DOOR|INVERT|SPECIAL
4,9,0,INSETEDGE
5,0,0,GRILL
5,1,0,INSET_WALL|INVERT
5,2,0,INSET_WALL|INVERT
5,3,0,INSET_WALL|INVERT
5,6,0,INSET_WCV1|INVERT
5,7,0,INSETEDGE|INVERT
5,9,0,INSET_CORNER
6,0,0,WALL
6,0,2,WINDOW
6,1,0,SIDE_CABINET|INVERT
6,6,0,INSET_WALL
6,9,0,INSETEDGE
7,0,0,WALL
7,0,2,WINDOW
7,1,0,SOLIDBRICK
7,1,1,FOLDED_TOWEL
7,2,0,SOLIDBRICK
7,3,0,SOLIDBRICK
7,6,0,INSET_WALL
7,8,0,COR_DOOR|SPECIAL
7,8,3,DOORJAMB
8,0,0,WALL
8,0,2,WINDOW
8,1,0,SOLIDBRICK
8,1,1,FOLDED_TOWEL
8,2,0,SOLIDBRICK
8,3,0,SOLIDBRICK
8,6,0,INSET_WALL
8,9,0,INSET_CORNER
9,1,0,INSET_CORNER|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSET_WALL|INVERT
9,4,0,INSET_WALL|INVERT
9,5,0,INSET_WALL|INVERT
9,6,0,INSET_WCV2
9,9,0,INSET_WALL
ROOM 24,6,6
0,1,0,WALL|INVERT
0,2,0,WALL|INVERT
0,3,0,VDU|INVERT
0,4,0,WALL|INVERT
0,5,0,WALL|INVERT
0,6,0,WALLCURVE1
0,9,0,INSET_WALL
1,0,0,WALL
1,0,2,WINDOW
1,4,0,PLANT
1,5,0,SOFA_SW
1,6,0,INSIDEWALL|INVERT
1,9,0,INSET_WALL
2,0,0,WALL
2,0,2,WINDOW
2,1,0,CHAIR_SE
2,2,0,DESK_LEFT
2,3,0,CHAIR_NE
2,5,0,SOFA_SW
2,6,0,INSIDEWALL|INVERT
2,9,0,INSETEDGE
3,0,0,WALL
3,0,2,WINDOW
3,1,0,CHAIR_SE
3,2,0,DESK_RIGHT
3,3,0,CHAIR_NE
3,5,0,SOFA_SW
3,6,0,INSIDEWALL|INVERT
3,8,0,COR_DOOR|SPECIAL
3,8,3,DOORJAMB
4,0,0,STORECUPBOARD
4,4,0,SOFA_SW
4,5,0,SOFA_SW
4,6,0,CENTRECOLUMN|INVERT
4,9,0,INSET_CORNER
5,0,0,COMPUTERA
5,3,0,INSET_WCV1
5,4,0,INSET_WALL|INVERT
5,5,0,INSET_WALL|INVERT
5,9,0,INSET_WALL
6,0,0,COMPUTERB
6,3,0,INSETEDGE
6,4,0,INFO|SPECIAL
6,9,0,INSET_WALL
7,0,0,STORECUPBOARD
7,2,0,SURGERY_DOOR|SPECIAL
7,9,0,INSET_WALL
8,1,0,CENTRECOLUMN
8,2,0,INSIDEWALL
8,3,0,WALLCURVE2
8,9,0,INSET_WALL
9,4,0,INSET_CORNER|INVERT
9,5,0,INSET_WCV2
9,9,0,INSET_WALL
ROOM 25,7,7
0,5,0,WALL
0,9,0,INSET_WALL
1,5,0,WALL
1,9,0,INSET_WALL
2,1,0,WALL|INVERT
2,2,0,WALL|INVERT
2,3,0,WALL|INVERT
2,4,0,WALL|INVERT
2,5,0,WALLCURVE1
2,9,0,INSET_WALL
3,0,0,WALL
3,1,0,BATHSW
3,2,0,BATHSW
3,3,0,INSET_CORNER
3,9,0,INSETEDGE
4,0,0,WALL
4,0,2,WINDOW
4,3,0,INSET_WALL
4,4,0,INFO|SPECIAL
4,8,0,COR_DOOR|SPECIAL
4,8,3,DOORJAMB
5,0,0,WALL
5,0,2,WINDOW
5,3,0,INSETEDGE
5,7,0,DESK_LEFT
5,7,1,MONITOR_FRONT|INVERT
5,9,0,INSET_CORNER
6,0,0,WALL
6,0,2,WINDOW
6,2,0,SURGERY_DOOR|SPECIAL
6,7,0,DESK_RIGHT
6,8,0,CHAIR_NE
6,9,0,INSET_WALL
7,0,0,WALL
7,1,0,BATHSW|INVERT
7,1,1,BATHSW
7,3,0,INSET_CORNER
7,9,0,INSET_WALL
8,1,0,WALLCURVE2
8,2,0,PLANT
8,3,0,INSET_WALL
8,5,0,COR_DOOR|INVERT|SPECIAL
8,5,3,DOORJAMB|INVERT
8,8,0,PLANT
8,9,0,INSET_WALL
9,2,0,INSET_CORNER|INVERT
9,3,0,INSET_WALL|INVERT
9,4,0,INSETEDGE|INVERT
9,6,0,INSET_CORNER|INVERT
9,7,0,INSET_WALL|INVERT
9,8,0,INSET_WALL|INVERT
ROOM 26,7,6
0,3,0,WALL|INVERT
0,4,0,WALL|INVERT
0,5,0,COR_DOOR|INVERT|SPECIAL
0,5,3,DOORJAMB|INVERT
0,6,0,WALL|INVERT
0,7,0,RED|INVERT
0,8,0,WALL|INVERT
1,2,0,GRILL
1,9,0,INSET_CORNER
2,1,0,GRILL|INVERT
2,2,0,WALLCURVE1|INVERT
2,9,0,INSETEDGE
3,0,0,WALL
3,8,0,COR_DOOR|SPECIAL
3,8,3,DOORJAMB
4,0,0,LIFT|SPECIAL
4,0,3,DOORJAMB
4,9,0,INSET_CORNER
5,0,0,WALL
5,5,0,INFO|SPECIAL
5,8,0,SOFA_SW
5,9,0,INSET_WALL
6,0,0,WALL
6,1,0,WALL|INVERT
6,8,0,SOFA_SW
6,9,0,INSET_WALL
7,2,0,WALLCURVE2|INVERT
7,2,1,TRANSP_WALL
7,3,0,STAIRS
7,4,0,STAIRS
7,5,0,STAIRS
7,6,0,STAIRS
7,7,0,STAIRS
7,8,0,INSET_WCV1
7,8,1,TRANSP_WALL
7,9,0,TRANSP_WALL
8,2,0,RED
8,2,1,TRANSP_WALL
8,3,0,GLASS_TILE
8,4,0,GLASS_TILE
8,5,0,GLASS_TILE
8,5,1,COR_DOOR|INVERT|SPECIAL
8,6,0,GLASS_TILE
8,7,0,GLASS_TILE
8,8,0,INSET_WALL
8,8,1,TRANSP_WALL
9,2,1,TRANSP_WALL
9,3,0,TRANSP_WALL
9,3,1,INSET_WALL|INVERT
9,4,0,TRANSP_WALL
9,4,1,INSETEDGE|INVERT
9,5,0,TRANSP_WALL
9,6,0,TRANSP_WALL
9,6,1,INSET_CORNER|INVERT
9,7,0,TRANSP_WALL
9,7,1,INSET_WALL|INVERT
9,8,1,TRANSP_WALL
ROOM 27,7,7
0,3,1,CTRL2|INVERT
0,4,1,VDU|INVERT
0,5,1,COR_DOOR|INVERT|SPECIAL
0,6,1,VDU|INVERT
0,7,1,CTRL2|INVERT
1,2,0,RED
1,2,1,TRANSP_WALL
1,3,0,GLASS_TILE|INVERT
1,4,0,GLASS_TILE|INVERT
1,5,0,GLASS_TILE|INVERT
1,6,0,GLASS_TILE|INVERT
1,7,0,GLASS_TILE|INVERT
1,8,0,INSET_WALL
1,8,1,TRANSP_WALL
2,2,0,WALLCURVE1
2,2,1,TRANSP_WALL
2,3,0,STAIRN|INVERT
2,4,0,STAIRN|INVERT
2,5,0,STAIRN|INVERT
2,6,0,STAIRN|INVERT
2,7,0,STAIRN|INVERT
2,8,0,INSET_WCV2|INVERT
2,8,1,TRANSP_WALL
3,1,0,COMPUTERA
3,9,0,INSET_WALL
4,1,0,COMPUTERB
4,9,0,INSET_WALL
5,1,0,VDU
5,2,0,TERMINAL
5,9,0,INSET_WALL
6,1,0,COMPUTERA
6,4,0,DESK_LEFT|INVERT
6,4,1,MONITOR_FRONT|INVERT
6,5,0,DESK_RIGHT|INVERT
6,6,0,CONTROL_UNIT|INVERT
6,9,0,INSET_WALL
7,1,0,COMPUTERB
7,5,0,CHAIR_NE|INVERT
7,9,0,INSET_WALL
8,1,0,RED
8,9,0,INSET_WALL
9,1,0,CTRL2
9,9,0,INSET_WALL
ROOM 28,7,7
0,0,0,WALL|INVERT
0,1,0,WALLCURVE1|INVERT
0,9,0,INSET_WALL
1,9,0,INSET_WALL
2,0,0,WALL|INVERT
2,7,0,SOLIDBRICK
2,7,1,MONITOR_FRONT
2,9,0,INSET_WALL
3,1,0,WALLCURVE2|INVERT
3,7,0,SOLIDBRICK
3,8,0,CHAIR_NE
3,9,0,INSET_WALL
4,1,0,VDU
4,4,0,INFO|INVERT|SPECIAL
4,7,0,SOLIDBRICK
4,7,1,MONITOR_FRONT
4,9,0,INSET_WALL
5,1,0,WALL_CHIP|SPECIAL
5,7,0,SOLIDBRICK
5,8,0,CHAIR_NE
5,9,0,INSET_WALL
6,1,0,VDU
6,7,0,SOLIDBRICK
6,7,1,MONITOR_FRONT
6,9,0,INSET_WALL
7,0,0,VDU|INVERT
7,1,0,WALLCURVE1|INVERT
7,5,0,SOLIDBRICK
7,5,1,MONITOR_FRONT
7,6,0,SOLIDBRICK
7,7,0,SOLIDBRICK
7,8,0,CHAIR_NE
7,9,0,INSET_WALL
8,6,0,CHAIR_NE|INVERT
8,9,0,INSET_WALL
9,0,0,INSET_WALL|INVERT
9,1,0,INSET_WALL|INVERT
9,2,0,INSET_WALL|INVERT
9,3,0,INSET_WALL|INVERT
9,4,0,INSET_WALL|INVERT
9,5,0,INSET_WALL|INVERT
9,6,0,INSET_WALL|INVERT
9,7,0,INSET_WALL|INVERT
9,8,0,INSET_WALL|INVERT
ROOM 32,6,6
0,1,0,WALL|INVERT
0,2,0,WALL|INVERT
0,2,2,WINDOW|INVERT
0,3,0,RED|INVERT
0,4,0,WALL|INVERT
0,4,2,WINDOW|INVERT
0,5,0,RED|INVERT
0,6,0,WALL|INVERT
0,6,2,WINDOW|INVERT
0,7,0,WALL|INVERT
0,8,0,WALL|INVERT
1,0,0,WALL
1,1,0,PLANT|INVERT
1,7,0,SOFA_SW|INVERT
1,8,0,SOFA_SW|INVERT
1,9,0,INSET_CORNER
2,0,0,WALL
2,0,2,WINDOW
2,4,0,INFO
2,8,0,SOFA_SW|INVERT
2,9,0,INSET_WALL
3,0,0,WALL
3,0,2,WINDOW
3,1,0,SOFA_SW
3,9,0,INSETEDGE
4,0,0,WALL
4,0,2,WINDOW
4,1,0,SOFA_SW
4,3,0,SOFA_SW
4,4,0,SOFA_SW
4,4,1,SOFA_SW
4,5,0,SOFA_SW
4,8,0,COR_DOOR|SPECIAL
4,8,3,DOORJAMB
5,0,0,WALL
5,0,2,WINDOW
5,1,0,SOFA_SW
5,3,0,SOFA_SW
5,4,0,SOFA_SW
5,4,1,SOFA_SW
5,5,0,SOFA_SW
5,9,0,INSET_CORNER
6,0,0,WALL
6,0,2,WINDOW
6,3,0,SOFA_SW
6,4,0,SOFA_SW
6,4,1,SOFA_SW
6,5,0,SOFA_SW
6,8,0,SOFA_SW|INVERT
6,9,0,INSET_WALL
7,0,0,WALL
7,8,0,SOFA_SW
7,9,0,INSET_WALL
8,0,0,WALL
8,9,0,INSET_WALL
9,1,0,INSET_CORNER|INVERT
9,2,0,INSET_WCV2
9,6,0,INSET_WCV1
9,7,0,INSET_WALL|INVERT
9,8,0,INSET_WALL|INVERT
ROOM 33,7,6
0,2,0,WALL
0,6,0,INSET_WALL
1,2,0,VDU
1,6,0,INSET_WALL
2,1,0,WALL|INVERT
2,2,0,WALLCURVE1
2,6,0,INSET_WCV2|INVERT
3,0,0,WALL
3,0,2,WINDOW
3,1,0,PLANT
3,7,0,INSET_WALL|INVERT
3,8,0,INSET_WALL
4,0,0,WALL
4,0,2,WINDOW
4,1,0,CHAIR_SE
4,7,0,PLANT
4,8,0,INSET_WALL
5,0,0,WALL
5,0,2,WINDOW
5,7,0,PLANT
5,8,0,INSET_WALL
6,0,0,WALL
